timestamp,room,title
2022-08-29T08:30,HS118,"Getting Started With JupyterLab"
2022-08-29T08:30,HS120,"Increase Citations, Ease Review and Collaboration"
2022-08-29T10:30,HS118,"Introduction to Python for Scientific Programming"
2022-08-29T10:30,HS120,"Time Series Forecasting With scikit-learn"
2022-08-29T13:30,HS118,"Introduction to NumPy"
2022-08-29T13:30,HS120,"Evaluating Your Machine Learning Models"
2022-08-29T15:30,HS118,"Introduction to pandas"
2022-08-29T15:30,HS120,"Introduction to Audio and Speech Recognition"
2022-08-30T08:30,HS118,"Introduction to SciPy"
2022-08-30T08:30,HS120,"Introduction to PyTorch"
2022-08-30T10:30,HS118,"Introduction to scikit-learn I"
2022-08-30T10:30,HS120,"Introduction to Geospatial Data Analysis"
2022-08-30T13:30,HS118,"Introduction to scikit-learn II"
2022-08-30T13:30,HS120,"Image Processing With scikit-image"
2022-08-30T15:30,HS118,"Effectively Using MatPlotLib"
2022-08-30T15:30,HS120,"Network Science With Python"
